File name,Color,Polymer,Matching
AI58_5_197.csv,transparent,PE,0.94
AI58_5_198.csv,transparent,PE,0.97
AI58_5_199.csv,transparent,PE,0.97
AI58_5_200.csv,transparent,PE,0.94
AI58_5_201.csv,transparent,PE,0.95
AI58_5_202.csv,transparent,PE,0.96
AI58_5_203.csv,transparent,PE,0.95
AI58_5_204.csv,transparent,PE,0.97
AI58_5_205.csv,transparent,PP,0.95
AI58_5_206.csv,transparent,PE,0.92
AI58_5_207.csv,transparent,PE,0.97
AI58_5_208.csv,transparent,PE,0.97
AI58_5_209.csv,transparent,PE,0.97
AI58_5_210.csv,green,PE,0.95
AI58_5_211.csv,transparent,PE,0.96
AI58_5_213.csv,transparent,PE,0.96
AI58_5_214.csv,transparent,PE,0.89
AI58_5_215.csv,transparent,PP,0.9
AI58_5_216.csv,transparent,PE,0.92
AI58_5_217.csv,transparent,PP,0.94
AI58_5_218.csv,transparent,PE,0.95
AI58_5_219.csv,transparent,PE,0.96
AI58_5_221.csv,transparent,PE,0.96
AI58_5_222.csv,transparent,PE,0.88
AI58_5_223.csv,transparent,PE,0.98
AI58_5_224.csv,transparent,PE,0.96
AI58_5_225.csv,transparent,PE,0.97
AI58_5_226.csv,transparent,PE,0.97
AI58_5_227.csv,transparent,PE,0.96
AI58_5_228.csv,transparent,PE,0.95
AI58_5_229.csv,transparent,PE,0.96
AI58_5_230.csv,white,PE,0.97
AI58_5_231.csv,transparent,PP,0.95
AI58_5_232.csv,transparent,PP,0.96
AI58_5_233.csv,transparent,PE,0.97
AI58_5_234.csv,transparent,PP,0.9
AI58_5_235.csv,transparent,PE,0.96
AI58_5_237.csv,transparent,PE,0.98
AI58_5_238.csv,transparent,PE,0.96
AI58_5_239.csv,transparent,PE,0.97
AI58_5_240.csv,gray,PP,0.89
AI58_5_241.csv,gray,PE,0.98
AI58_5_243.csv,light blue,PE,0.98
AI58_5_244.csv,blue,PE,0.97
AI58_5_245.csv,gray,PE,0.96
AI58_5_246.csv,gray,PE,0.95
AI58_5_247.csv,gray,PE,0.98
AI58_5_248.csv,light blue,PP,0.94
AI58_5_249.csv,gray,PE,0.97
AI58_5_250.csv,black,PE,0.96
AI58_5_251.csv,yellow,PE,0.97
AI58_5_252.csv,gray,PP,0.84
AI58_5_253.csv,light blue,PE,0.94
AI58_5_254.csv,blue,PE,0.97
AI58_5_255.csv,blue,PE,0.97
AI58_5_256.csv,blue,PE,0.96
AI58_5_257.csv,blue,PE,0.96
AI58_5_258.csv,light blue,PE,0.97
AI58_5_259.csv,light blue,PP,0.84
AI58_5_260.csv,light blue,PP,0.94
AI58_5_261.csv,light blue,PE,0.97
AI58_5_262.csv,transparent,PE,0.93
AI58_5_263.csv,transparent,PE,0.97
AI58_5_264.csv,transparent,PE,0.97
AI58_5_265.csv,transparent,PE,0.95
AI58_5_267.csv,transparent,PP,0.92
AI58_5_268.csv,transparent,PE,0.97
AI58_5_269.csv,transparent,PE,0.97
AI58_5_270.csv,transparent,PE,0.83
AI58_5_271.csv,transparent,PP,0.91
AI58_5_272.csv,transparent,PE,0.97
AI58_5_273.csv,transparent,PE,0.96
AI58_5_274.csv,transparent,PE,0.97
AI58_5_275.csv,transparent,PE,0.96
AI58_5_277.csv,transparent,PP,0.96
AI58_5_278.csv,transparent,PP,0.91
AI58_5_279.csv,transparent,PE,0.97
AI58_5_280.csv,black,PP,0.84
AI58_5_281.csv,transparent,PE,0.98
AI58_5_282.csv,transparent,PE,0.96
AI58_5_283.csv,transparent,PP,0.95
AI58_5_284.csv,transparent,PE,0.97
AI58_5_285.csv,transparent,PE,0.95
AI58_5_286.csv,transparent,PE,0.97
AI58_5_287.csv,transparent,PE,0.96
AI58_5_288.csv,transparent,PE,0.97
AI58_5_289.csv,transparent,PE,0.96
AI58_5_290.csv,transparent,PE,0.96
AI58_5_291.csv,transparent,PE,0.97
AI58_5_292.csv,transparent,PE,0.98
AI58_5_293.csv,transparent,PE,0.98
AI58_5_294.csv,transparent,PE,0.98
AI58_5_295.csv,transparent,PE,0.98
AI58_5_296.csv,transparent,PE,0.96
AI58_5_297.csv,transparent,PE,0.96
AI58_5_298.csv,white,PP,0.92
AI58_5_299.csv,transparent,PE,0.96
AI58_5_300.csv,transparent,PE,0.98
AI58_5_301.csv,transparent,PE,0.96
AI58_5_303.csv,transparent,PE,0.97
AI58_5_304.csv,transparent,PE,0.96
AI58_5_305.csv,transparent,PE,0.98
AI58_5_306.csv,transparent,PE,0.97
AI58_5_307.csv,transparent,PE,0.93
AI58_5_309.csv,black,PP,0.87
AI58_5_310.csv,transparent,PP,0.98
AI58_5_311.csv,black,PE,0.97
AI58_5_312.csv,transparent,PP,0.95
AI58_5_313.csv,transparent,PE,0.96
AI58_5_314.csv,black,PE,0.93
AI58_5_316.csv,white,PE,0.96
AI58_5_317.1.csv,green,PP,0.95
AI58_5.1_1.csv,transparent,PP,0.72
